Id,SalePrice
1461,42267.895
1462,42434.293
1463,42240.61
1464,42885.43
1465,42132.67
1466,42739.598
1467,42833.43
1468,42030.63
1469,42213.11
1470,42171.484
1471,42553.97
1472,50129.043
1473,49378.04
1474,51950.62
1475,52107.043
1476,43592.074
1477,42509.43
1478,42670.86
1479,41929.625
1480,43174.29
1481,42643.14
1482,42708.105
1483,43166.746
1484,52324.406
1485,42683.965
1486,43220.734
1487,42854.938
1488,43272.48
1489,42335.59
1490,41815.613
1491,43238.617
1492,41883.598
1493,41268.254
1494,42639.41
1495,42647.176
1496,42863.47
1497,51947.55
1498,49952.992
1499,49929.426
1500,49930.258
1501,51408.594
1502,49927.535
1503,42636.82
1504,42563.465
1505,42566.184
1506,41731.45
1507,42615.26
1508,41483.895
1509,41668.273
1510,41472.848
1511,41444.27
1512,42097.344
1513,41989.785
1514,40230.234
1515,41721.9
1516,41842.027
1517,42424.73
1518,42753.46
1519,42672.395
1520,41444.27
1521,41444.27
1522,41908.703
1523,41483.766
1524,41798.09
1525,41837.54
1526,40029.88
1527,42174.34
1528,42576.137
1529,42117.668
1530,42696.293
1531,41154.02
1532,42594.56
1533,41530.695
1534,42158.074
1535,42159.03
1536,41543.027
1537,40714.316
1538,41272.62
1539,42409.44
1540,39503.76
1541,41985.438
1542,42219.668
1543,40986.67
1544,41372.168
1545,38778.594
1546,41425.703
1547,41271.336
1548,42440.9
1549,40842.316
1550,41148.555
1551,41597.508
1552,43295.35
1553,43286.72
1554,50917.688
1555,41438.746
1556,42688.9
1557,41083.395
1558,40244.496
1559,39440.086
1560,43385.285
1561,41099.92
1562,42103.67
1563,42608.36
1564,41477.3
1565,41165.28
1566,42480.188
1567,42305.207
1568,42661.836
1569,41243.453
1570,42156.223
1571,42243.47
1572,42616.54
1573,41988.56
1574,42991.953
1575,41901.12
1576,42850.062
1577,41943.87
1578,42224.965
1579,42242.062
1580,41930.734
1581,42832.125
1582,41677.734
1583,42828.99
1584,43220.734
1585,42836.68
1586,40395.867
1587,42153.074
1588,42462.113
1589,40742.94
1590,41721.047
1591,42431.72
1592,41021.605
1593,41889.945
1594,42060.305
1595,42431.094
1596,42387.406
1597,42287.72
1598,42105.57
1599,51893.137
1600,51669.703
1601,40573.5
1602,41488.098
1603,42378.695
1604,52182.28
1605,41937.215
1606,42417.742
1607,42014.004
1608,42687.516
1609,42475.625
1610,42773.195
1611,41449.285
1612,42487.617
1613,43195.09
1614,52265.71
1615,50776.61
1616,50306.938
1617,49597.23
1618,42023.492
1619,42407.44
1620,43523.945
1621,39981.574
1622,42224.96
1623,42712.598
1624,42664.066
1625,41044.93
1626,41780.805
1627,42293.67
1628,42269.953
1629,41856.797
1630,42536.523
1631,42311.555
1632,42276.4
1633,41926.367
1634,41179.617
1635,39598.266
